2020004,2,15,17,27,32,33,3
2020005,11,16,17,22,26,32,4
2020006,3,4,5,10,16,32,9
2020007,5,12,17,20,25,31,10
2020008,1,4,6,10,11,28,16
2020009,3,6,8,14,19,26,12
2020010,11,14,22,27,31,32,9
2020011,4,5,7,17,18,29,1
2020012,4,13,14,23,26,31,9
2020013,2,8,10,20,21,30,14
2020014,2,7,8,10,12,16,7
2020015,8,9,22,24,30,33,1
2020016,5,6,8,17,24,27,7
2020017,2,4,7,15,20,27,4
2020018,5,7,8,11,17,22,13
2020019,15,19,27,28,30,33,3
2020020,1,6,9,13,15,22,14
2020021,2,6,14,16,27,31,7
2020022,2,10,20,22,25,30,2
2020023,4,5,20,21,30,33,8
2020024,10,13,27,28,29,31,8
2020025,1,9,10,15,20,29,2
2020026,1,4,9,18,19,31,6
2020027,12,13,14,24,25,28,6
2020028,5,6,15,18,26,32,8
2020029,1,12,18,20,30,32,5
2020030,17,18,21,29,30,32,3
2020031,2,5,9,15,16,27,9
2020032,3,11,13,14,15,26,13
2020033,7,10,12,21,31,32,1
2020034,2,8,15,16,26,32,3
2020035,10,14,24,25,28,33,11
2020036,7,9,16,22,24,32,6
2020037,1,4,11,13,17,24,15
2020038,1,6,7,18,23,24,15
2020039,2,9,10,11,16,29,2
2020040,1,6,12,16,19,21,4
2020041,6,7,16,22,24,25,13
2020042,2,6,7,11,14,31,3
2020043,1,11,24,25,27,30,7
2020044,7,8,16,17,19,24,7
2020045,2,3,15,21,22,33,16
2020046,13,19,25,26,27,32,8
2020047,4,10,17,19,28,32,1
2020048,12,14,18,23,30,32,2
2020049,1,7,9,12,18,22,4
2020050,4,9,17,20,32,33,15
2020051,3,6,8,11,19,28,8
2020052,2,8,13,29,32,33,15
2020053,2,14,15,16,32,33,1
2020054,3,10,19,25,26,31,2
2020055,1,5,7,23,28,30,12
2020056,2,5,8,12,26,31,14
2020057,9,14,21,23,26,32,3
2020058,1,3,11,12,19,26,7
2020059,2,4,10,17,22,25,14
2020060,5,9,14,20,24,30,8
2020061,8,17,24,26,27,31,4
2020062,10,14,17,22,26,27,5
2020063,12,15,16,22,29,32,14
2020064,1,3,7,21,27,32,1
2020065,9,15,18,21,23,26,8
2020066,2,9,13,17,26,28,7
2020067,4,7,9,23,27,30,8
2020068,12,16,21,26,27,32,10
2020069,3,9,10,13,18,26,4
2020070,1,2,4,6,19,21,15
2020071,9,11,12,13,22,23,8
2020072,6,8,10,15,17,26,4
2020073,5,7,11,13,27,29,3
2020074,4,8,9,13,19,33,12
2020075,3,11,13,20,24,30,16
2020076,10,15,16,18,20,27,6
2020077,3,10,16,21,25,27,12
2020078,3,11,14,16,21,32,4
2020079,5,12,20,21,22,29,14
2020080,14,15,18,22,31,33,1
2020081,1,5,13,14,27,33,15
2020082,2,8,11,17,21,30,9
2020083,1,19,25,26,30,31,12
2020084,3,7,16,17,23,30,7
2020085,1,2,5,9,19,24,16
2020086,2,4,6,15,24,27,6
2020087,11,15,20,23,25,33,10
2020088,1,6,12,26,29,30,12
2020089,2,14,16,21,29,30,10
2020090,2,21,23,26,31,32,6
2020091,1,9,11,12,16,19,16
2020092,1,6,12,18,22,24,3
2020093,4,5,10,13,15,19,15
2020094,10,15,17,27,29,31,8
2020095,3,9,16,17,20,26,2
2020096,1,20,23,26,27,32,15
2020097,2,8,21,25,26,30,10
2020098,6,8,11,22,25,33,2
2020099,5,6,11,12,15,30,12
2020100,1,7,15,16,20,23,7
2020101,10,17,24,25,28,30,15
2020102,9,10,19,25,26,29,8
2020103,4,9,10,22,28,32,8
2020104,04,08,10,16,27,29,09
2020105,06,14,19,20,22,24,01
2020106,02,04,11,15,18,28,10
2020107,03,09,11,24,25,28,16
2020108,10,12,15,17,23,32,05
2020109,06,13,16,20,23,32,13
2020110,02,06,09,14,22,25,04
2020111,06,09,17,22,24,26,16
2020112,02,09,12,17,28,32,05
2020113,01,03,07,10,22,32,11
2020114,01,05,11,24,30,32,03
2020115,01,04,12,20,25,32,02
2020116,05,06,14,16,19,27,10
2020117,07,08,09,10,16,27,07
2020118,11,13,19,26,30,33,05
2020119,01,09,22,28,32,33,15
2020120,01,02,03,04,09,10,12
2020121,02,04,06,21,25,29,03
2020122,12,15,17,24,26,31,15
2020123,01,03,18,19,26,29,03
2020124,16,18,19,20,29,33,12
2020125,05,12,16,26,30,31,13
2020126,03,07,12,14,23,28,11
2020127,01,04,18,19,26,31,07
2020128,08,10,15,16,23,26,10
2020129,01,02,05,15,28,33,04
2020130,08,09,11,14,17,29,16
2020131,08,19,22,26,27,30,07
2020132,01,04,11,12,14,23,04
2020133,03,19,22,23,27,29,07
2020134,02,09,10,20,22,26,01
2021001,02,03,13,18,20,31,11
2021002,06,10,13,25,26,32,11
2021003,06,09,16,18,22,29,11
2021004,02,03,07,08,17,22,15
2021005,07,09,14,26,30,31,04
2021006,06,08,22,24,25,26,01
2021007,02,04,12,21,25,32,16
2021008,01,05,07,14,18,33,07
2021009,02,04,07,24,25,32,13
2021010,01,04,11,19,32,33,05
2021011,05,10,16,23,27,33,14
2021012,03,06,14,18,20,26,01
2021013,06,09,12,16,27,31,06
2021014,04,15,21,25,29,33,06
2021015,06,14,16,26,28,29,07
2021016,03,08,09,13,15,18,10
2021017,09,15,18,29,32,33,02
2021018,02,08,14,23,25,32,06
2021019,12,16,17,24,28,29,08
2021020,01,03,06,07,09,11,02
2021021,04,08,17,24,28,33,13
2021022,10,15,17,25,31,32,06
